id;name;type;received_date;orientation
1;Checking;card;2022-02-19;silver SSL
2;circuit;Soft facilitate initiative;2022-02-18;Road array
3;synergize;transmit system B2C;2022-02-18;Small Granite parsing
4;auxiliary;Games Bike;2022-02-19;Norwegian port methodology
5;Metal;Accountability Automotive CSS;2022-02-19;Customer
6;Buckinghamshire Vista Usability;B2C Small Peso;2022-02-19;Awesome ADP platforms
7;Bacon Granite Lane;Compatible visionary bandwidth;2022-02-19;Electronics
8;encryption expedite;COM;2022-02-18;Personal
9;stable back-end Wooden;parsing;2022-02-19;Savings
10;optical;Avon;2022-02-19;Tuna
