id;title;short_description;description;picture;created_date
1;Singapore Mexico;Tasty action-items;Hat;help-desk Tools Loan;2022-02-18
2;Pataca;payment;Isle;Markets Optimized hardware;2022-02-19
3;Handmade Licensed backing;payment Identity;PCI Home;Shoes;2022-02-18
4;Loan;partnerships;Netherlands;Digitized;2022-02-19
5;navigate generate;transform;Technician;XSS connecting;2022-02-19
6;Home synthesize;Fundamental redefine PCI;withdrawal matrix synergize;throughput Georgia copy;2022-02-19
7;Jordan;deposit;Cotton Administrator;Awesome payment Cross-group;2022-02-19
8;Martin;Granite harness bypassing;Business-focused Shoes;Steel;2022-02-19
9;copy;Bedfordshire metrics;Utah connecting;frictionless;2022-02-19
10;Ergonomic;turquoise back Diverse;Borders AGP Shoes;calculating Corporate whiteboard;2022-02-19
